,Kenteken,Voertuigsoort,Merk,Datum eerste toelating DT,Datum
112021,83MPHF,Motorfiets,KAWASAKI,06/23/2021 12:00:00 AM,2021-06-23
112022,83MPHG,Motorfiets,HUSQVARNA,06/24/2021 12:00:00 AM,2021-06-24
112024,83MPHJ,Motorfiets,HONDA,07/03/2021 12:00:00 AM,2021-07-03
112025,83MPHK,Motorfiets,DUCATI,06/25/2021 12:00:00 AM,2021-06-25
112027,83MPHN,Motorfiets,ROYAL ENFIELD,06/29/2021 12:00:00 AM,2021-06-29
112028,83MPHP,Motorfiets,YAMAHA,06/26/2021 12:00:00 AM,2021-06-26
112029,83MPHR,Motorfiets,DUCATI,06/29/2021 12:00:00 AM,2021-06-29
112034,83MPHZ,Motorfiets,YAMAHA,07/03/2021 12:00:00 AM,2021-07-03
112036,83MPJD,Motorfiets,SUZUKI,07/01/2021 12:00:00 AM,2021-07-01
112037,83MPJF,Motorfiets,KTM,07/30/2021 12:00:00 AM,2021-07-30
112039,83MPJH,Motorfiets,BMW,07/09/2021 12:00:00 AM,2021-07-09
112040,83MPJJ,Motorfiets,KAWASAKI,07/09/2021 12:00:00 AM,2021-07-09
112041,83MPJK,Motorfiets,DUCATI,07/08/2021 12:00:00 AM,2021-07-08
112042,83MPJL,Motorfiets,PIAGGIO,07/10/2021 12:00:00 AM,2021-07-10
